Alpha , T_Ratio,Alpha ,Sigma1
8.232507782,3.275600802,17.44374867,1.665577402
8.279590572,3.238568212,17.49078489,1.663465266
8.326673362,3.275600802,17.53782111,1.665577402
8.373756152,3.238568212,17.58485733,1.663817289
8.420838943,3.275600802,17.67892977,1.664169312
8.467921733,3.24474031,17.72596599,1.662057176
8.562087313,3.250912409,17.77300221,1.664169312
8.656252894,3.250912409,17.82003843,1.662409198
8.750418474,3.250912409,18.33743685,1.65994504
8.844584055,3.250912409,18.43150929,1.65994504
8.938749635,3.250912409,18.52558173,1.65994504
8.938749635,3.213879818,18.52558173,1.657832904
9.032915215,3.250912409,18.61965417,1.65994504
9.032915215,3.213879818,18.61965417,1.657832904
9.127080796,3.238568212,18.71372661,1.658536949
9.103539401,3.213879818,19.2389644,1.656190131
9.221246376,3.226224015,19.32519747,1.656424813
9.315411957,3.226224015,19.30167936,1.655016722
9.409577537,3.226224015,19.41926991,1.655720768
9.503743117,3.226224015,19.51334235,1.655720768
9.597908698,3.226224015,19.51334235,1.653608632
9.597908698,3.189191424,19.60741479,1.655016722
9.692074278,3.226224015,19.58389668,1.653608632
9.692074278,3.189191424,19.67796912,1.655016722
9.786239859,3.226224015,,
9.786239859,3.189191424,,
9.880405439,3.213879818,,
9.856864044,3.189191424,,
9.97457102,3.201535621,,
10.0687366,3.201535621,,
10.16290218,3.201535621,,
10.25706776,3.201535621,,
10.35123334,3.201535621,,
10.35123334,3.164503031,,
10.44539892,3.201535621,,
10.44539892,3.164503031,,
10.5395645,3.201535621,,
10.5395645,3.164503031,,
10.63373008,3.189191424,,
10.61018869,3.164503031,,
10.72789566,3.176847228,,
10.82206124,3.176847228,,
10.91622682,3.176847228,,
11.0103924,3.176847228,,
11.10455798,3.176847228,,
11.19872356,3.176847228,,
11.24580636,3.139814637,,
11.29288915,3.176847228,,
11.33997194,3.139814637,,
11.38705473,3.176847228,,
11.43413752,3.139814637,,
11.48122031,3.176847228,,
11.5283031,3.139814637,,
11.57538589,3.176847228,,
11.62246868,3.145986735,,
11.71663426,3.152158834,,
11.81079984,3.152158834,,
11.90496542,3.152158834,,
11.999131,3.152158834,,
12.09329658,3.152158834,,
12.18746216,3.152158834,,
12.28162774,3.152158834,,
12.28162774,3.115126243,,
12.37579332,3.152158834,,
12.37579332,3.115126243,,
12.4699589,3.152158834,,
12.4699589,3.115126243,,
12.56412448,3.152158834,,
12.56412448,3.115126243,,
12.65829006,3.139814637,,
12.63474867,3.115126243,,
12.75245564,3.12747044,,
12.84662122,3.12747044,,
12.9407868,3.12747044,,
13.03495238,3.12747044,,
13.12911796,3.12747044,,
13.22328354,3.12747044,,
13.31744912,3.12747044,,
13.4116147,3.12747044,,
13.50578029,3.12747044,,
13.59994587,3.12747044,,
13.69411145,3.12747044,,
13.78827703,3.12747044,,
13.83535982,3.090437849,,
13.88244261,3.12747044,,
13.9295254,3.090437849,,
13.97660819,3.12747044,,
14.02369098,3.090437849,,
14.07077377,3.12747044,,
14.11785656,3.090437849,,
14.16493935,3.12747044,,
14.21202214,3.090437849,,
14.25910493,3.12747044,,
14.30618772,3.090437849,,
14.35327051,3.12747044,,
14.4003533,3.090437849,,
14.44743609,3.12747044,,
14.49451888,3.090437849,,
14.54160167,3.12747044,,
14.58868446,3.096609948,,
14.68285004,3.102782046,,
14.77701562,3.102782046,,
14.8711812,3.102782046,,
14.96534678,3.102782046,,
15.05951236,3.102782046,,
15.15367794,3.102782046,,
15.24784352,3.102782046,,
15.3420091,3.102782046,,
15.43617468,3.102782046,,
15.53034026,3.102782046,,
15.62450584,3.102782046,,
15.71867142,3.102782046,,
15.81283701,3.102782046,,
15.81283701,3.065749456,,
15.90700259,3.102782046,,
15.90700259,3.065749456,,
16.00116817,3.102782046,,
16.00116817,3.065749456,,
16.09533375,3.102782046,,
16.09533375,3.065749456,,
16.18949933,3.102782046,,
16.18949933,3.065749456,,
16.28366491,3.102782046,,
16.28366491,3.065749456,,
16.37783049,3.102782046,,
16.37783049,3.065749456,,
16.47199607,3.102782046,,
16.47199607,3.065749456,,
16.56616165,3.090437849,,
16.54262025,3.065749456,,
16.66032723,3.078093653,,
16.75449281,3.078093653,,
16.84865839,3.078093653,,
16.94282397,3.078093653,,
17.03698955,3.078093653,,
17.13115513,3.078093653,,
17.22532071,3.078093653,,
17.31948629,3.078093653,,
17.41365187,3.078093653,,
17.50781745,3.078093653,,
17.60198303,3.078093653,,
17.69614861,3.078093653,,
17.79031419,3.078093653,,
17.88447977,3.078093653,,
17.97864535,3.078093653,,
18.07281094,3.078093653,,
18.16697652,3.078093653,,
18.2611421,3.078093653,,
18.35530768,3.078093653,,
18.44947326,3.078093653,,
18.49655605,3.041061062,,
18.54363884,3.078093653,,
18.59072163,3.041061062,,
18.63780442,3.078093653,,
18.68488721,3.041061062,,
18.73197,3.078093653,,
18.77905279,3.041061062,,
18.82613558,3.078093653,,
18.87321837,3.041061062,,
18.92030116,3.078093653,,
18.96738395,3.041061062,,
19.01446674,3.078093653,,
19.06154953,3.041061062,,
19.10863232,3.078093653,,
19.15571511,3.041061062,,
19.2027979,3.078093653,,
19.24988069,3.041061062,,
19.29696348,3.078093653,,
19.34404627,3.041061062,,
19.39112906,3.078093653,,
19.43821185,3.041061062,,
19.48529464,3.078093653,,
19.53237743,3.041061062,,
19.57946022,3.065749456,,
19.6736258,3.053405259,,
19.76779138,3.053405259,,
19.86195696,3.053405259,,
19.96396968,3.057519991,,
20.05028812,3.065749456,,
20.02674673,3.041061062,,
